Step #	H(X)	H(X|S)	H(X|L,S)	Trust T
1	0.00033571239576309103	null	9.274194035077522e-05	null
2	0.0012613597291562255	0.0009408702785922518	0.0006418802031273175	0.5173527729292834
3	0.002143189950770538	0.0012529500035968707	0.0006455314559256208	0.5944211916387867
4	2.1605401420125588e-05	1.3921798866045297e-05	null	null
5	0.003280689894889394	0.016734152127020487	0.0024390826685181115	-15.985440488834366
6	null	null	null	null
7	0.012342637298267326	0.00935990526071966	0.0074338430043001105	0.607630277197268
8	null	null	0.00047521873979090097	null
9	null	null	0.00023672679655747196	null
10	0.0004005264595581008	null	0.002842021195774485	null
11	null	0.00014962172730008621	null	null
12	null	0.0016236545090489692	0.0006343638813476095	null
13	0.062464989906586485	0.006229835118775085	0.0006613330406534856	0.9099001198229901
14	0.0005983113327903535	null	0.0007731231834963717	null
15	0.0006325374352216184	0.0004897889558440505	0.00027161744008009757	0.3955128042202111
16	null	0.0031438304946473624	0.002883178021220123	null
17	0.0012896124115870055	0.0007383213395085924	0.00043736319729554516	0.6468660373441862
18	0.0012201063920154129	null	0.00214706957736659	null
19	null	null	0.00011660030408235553	null
20	0.00013486391750546146	0.00014902645901274558	0.00015851595317061605	0.5987874239573009
21	0.00028491506327664803	0.0002698013924189224	4.799603648059307e-05	0.06379255842012134
22	0.0003059062237912979	6.0292546940779164e-05	0.00018695879019279738	2.0648926119715374
23	0.009671237337191987	0.0012471117419110916	0.00020807588770857516	0.890202036629182
24	0.0005133704647994561	9.424477803112393e-05	0.0001935814223020866	1.3106317949333106
25	0.0002646888388400327	0.0002597496536453672	0.0002816829988299746	-0.2906401491800004
26	0.012937370567425877	0.0002865952207775169	0.00017072434023156864	0.990923937384657
27	0.0001886350044360831	0.00018456221220900312	8.405080890149419e-05	0.03894271219720762
28	0.03707636518239059	0.07478248837995079	null	null
29	0.0009395417465677782	0.0014731376879675794	0.0022466013967154994	0.4082414611601661
30	0.0013487773648552645	0.0005772059278613366	0.0015917690198948863	-3.1753001429951024
31	0.0007105451384759887	0.00044194481414307213	0.0018715905848324952	-0.2313435061270127
32	0.0010676350947734108	0.009611907937768234	0.000782391212034174	-29.954271975766762
33	0.00013964587626640135	0.00020623035359430315	0.00028185139208461955	0.4682271074000882
34	0.000720622463886717	0.0016840575097188512	0.0024226539552963666	0.5660500705743123
35	0.000937188063959443	0.0019971534154623236	0.00033763997169528075	-1.7679404958157339
