Step #	H(X)	H(X|S)	H(X|L,S)	Trust T
1	null	0.00013648607635538594	0.00012404197224543672	null
2	0.0004846176581774737	0.0038630986180723478	0.0005975536868253702	29.914997015062816
3	0.0003282252398075467	0.0009590798616371026	0.0011132035795639733	0.8036586360144737
4	0.032544038925633	0.1645839214139686	0.001086325681842873	-4.197377014185886
5	0.001130074933627109	0.004024770078551432	null	null
6	0.00036508649031575494	null	0.00033235872427405267	null
7	0.0012654285302275297	0.001573055710152612	null	null
8	0.0009954761178703976	0.0034211857259611924	0.0002887530971649694	-3.4323342200874243
9	0.0004645956176086637	null	0.002829645572392896	null
10	0.0007144619105032085	0.0003555909326765868	null	null
11	0.0007378612881476811	null	4.233676362450302e-05	null
12	0.003930297442820976	null	null	null
13	null	null	0.0017549029544263513	null
14	1.1609840688639061e-05	5.42112882131109e-05	3.235990149878278e-05	2.053075791645199
15	null	null	0.1779250884679908	null
16	2.748497972522399e-05	null	null	null
17	0.005134572475819309	null	0.0019833441507454332	null
18	null	null	0.0014350501297702093	null
19	null	4.025501961694183e-05	null	null
20	3.2238076596859984e-05	0.012827233469091986	0.0005499949448289049	24.712362457277436
21	0.0003643719415144806	0.0002065865136601679	0.00015474622632218526	0.7527007252405644
22	0.03587608077663963	0.08274742501375781	0.0024444912263838743	-1.4020076480856296
23	0.00015391623816383962	0.035856061096365854	0.0003633960846445125	170.4323611937341
24	0.00041135766826647357	0.00037483653294364253	0.0006384301413636586	-0.16083470983821238
25	0.0002192118340093514	0.00016378515859348346	0.00017958645217528156	1.3987669733496972
26	0.000603593211592219	0.00022853085234747505	0.00011675029112886561	0.77039706952661
27	null	0.10197788808441066	0.0007335923790287178	null
28	0.00010442982226191566	0.00034552533695361346	null	null
29	0.0001452701828038206	0.0008545492754385767	0.0003098025570367881	4.31087860940037
30	0.0008092852304046444	0.0003874592107087627	0.00028606327789769685	0.8062085653607597
31	0.00047669602663387136	0.00037222642279955537	0.0010996669484957154	-0.16769579472841617
32	0.0003008496968457434	0.000597164502309063	0.0005217121662137411	1.3416258828909693
33	0.0009348836912714464	0.0006816798436145183	0.000831320741292759	2.444926952245334
34	4.0000258426994414e-05	0.002327984537979474	null	null
35	0.00025404603584587804	0.0015413406519009787	7.578780105168146e-05	-7.22151555882573
36	0.006898129570433249	0.0031124704441598005	0.0203905625062484	-0.28057646417678755
37	null	null	null	null
38	0.0004973228511758578	0.011440169506012137	0.0009070100557710275	26.710247554959384
