Step #	H(X)	H(X|S)	H(X|L,S)	Trust T
1	null	0.0001626950867446738	0.000140293276824379	null
2	0.0013074317684083749	0.000612336711342798	0.000799729201689234	1.3690989619323726
3	0.00018085025141726876	0.0001170919562533653	null	null
4	0.004107387528961977	0.01927483059473347	0.0057662840228674215	9.143091881557757
5	0.0010411164906864146	0.0020470563824324137	0.00020292435688589884	-1.2001304369021986
6	0.5902423882979826	0.0004683878010730405	0.00025478063555312973	0.999637946352185
7	0.0009942374419290015	null	0.00023736885789776455	null
8	null	null	0.00024212070259505597	null
9	0.000990111836315458	null	0.00026110536532248757	null
10	null	0.0014518185974334566	0.0003002007762271478	null
11	0.0017320597230055124	null	0.0005923766478557687	null
12	null	null	null	null
13	null	4.2778843773454064e-05	0.0008184189952555981	null
14	0.00016536759281360314	8.387795852099617e-05	0.0013879962254073038	-0.06665117446148286
15	0.008348884027918235	0.0005085405038686435	1.7765443462485306	-0.004434093227568398
16	0.0002352552185988123	null	0.0008138508573617389	null
17	null	0.0005984932903428975	0.0003926465723862851	null
18	0.0693165817810801	9.216341714041849e-05	null	null
19	null	4.185739598114352e-05	0.005545470517014028	null
20	0.007704768265878541	null	null	null
21	2.2121097737003895e-05	8.614807412732415e-05	null	null
22	0.0004885690714030476	0.0007770000852015397	0.00064288672704967	1.8690733253425056
23	null	null	0.0002571976382930558	null
24	0.0013876685393753713	1.965053576627186e-05	0.0008555311158994588	2.5707983375294856
25	0.00897880496978893	0.0009761730417168448	null	null
26	4.0123335250564806e-05	7.179710465735287e-05	0.0018538333710546625	0.017463524368020428
27	0.0010808754203594545	1.3649142692705323	null	null
28	null	3.980798710134445e-05	0.000551644522274714	null
29	0.0002804265772379249	0.0015159339827707894	0.000791777466433035	2.416163600453712
30	null	0.0013262229926331393	0.0020513393547905074	null
31	0.00027150860582454196	0.00035888834897824574	0.000795228166413806	0.16684452850183465
32	0.001506338113131845	0.0005197249874785032	0.00023691514054432355	0.777213857759549
33	0.0005975018304393919	0.0005294512828535013	0.0005152275210660385	0.827117822126994
34	0.009173890722951024	0.03248391231403604	0.00023113115517728935	-2.606580375378241
35	0.0001409378133603442	0.0002820929386043094	0.0002885177518964019	0.9564655375532447
36	0.0004005355304301851	0.00023922393215890873	0.0008773780211743299	-0.3382911577773591
37	0.0002605490066126736	0.008381583923673157	0.00021271924296693308	-169.79040451067954
38	6.8989531776524e-05	0.00048526509938174635	0.0010730652866889994	0.4145858174232171
39	0.0017434002083305208	0.0008764473766520128	0.0007797290059940418	0.8996355080202962
40	null	null	null	null
41	0.0021740921373970307	0.0009369185968728621	0.0014002302354373022	1.598700669190652
42	0.004416984346765983	0.00032609763125495046	0.000512120777600542	1.0476388337391642
43	0.0203551544837993	0.001582992002655344	0.0031544075282027182	1.091357400327088
44	0.18400517789446413	0.44172994375718944	0.0003842144832678909	-1.4035694022886855
45	0.0008022301640973106	0.0005136605281691985	0.0005230953549792558	1.0338002517130247
46	0.0003570918484498612	0.0020827509040217424	0.00047339922476420844	14.837055999852439
